//articles_with_risk_level.csv
article url,article link,title,description,pub date,source id,country,city,risk_score,risk_level_id,risk_level
http://www.aguirre-charles.info/,http://jordan.net/,"China's Export Policies Tighten, Affecting Flour Supply",Packaging costs soar due to US-Canada trade disputes.,2024-07-19,source-19,Brazil,Sydney,0.9,5,Critical
https://www.martinez.net/,http://www.smith-stewart.net/,Tariffs in China Causing Expensive Raw Materials,Packaging costs soar due to US-Canada trade disputes.,2024-09-14,source-10,Canada,Paris,0.9,5,Critical
https://sullivan.org/,https://www.aguilar.com/,Canada Introduces Import Restrictions on Sugar,Analysis of supply chain disruptions caused by new tariffs on raw materials.,2024-06-05,source-11,China,Tokyo,1.6,5,Critical
https://www.hogan.com/,https://rodriguez.info/,Rising Costs of Vanilla Imports From Madagascar,Analysis of supply chain disruptions caused by new tariffs on raw materials.,2024-07-25,source-8,Canada,São Paulo,1.6,5,Critical
http://manning.com/,http://www.barber-butler.com/,US Steel Tariffs Drive Up Packaging Costs,Impacts of wheat tariffs on the baking industry in North America.,2024-06-07,source-6,Japan,Tokyo,1.6,5,Critical
http://miller.info/,http://medina-jones.com/,Supply Chain Delays Impacting Raw Material Costs for Bakers,Packaging costs soar due to US-Canada trade disputes.,2024-10-30,source-4,Mexico,Paris,0.9,5,Critical
http://clarke.org/,https://howard-bullock.com/,European Union Implements New Wheat Tariffs,Analysis of supply chain disruptions caused by new tariffs on raw materials.,2024-01-17,source-18,Australia,Toronto,1.6,5,Critical
https://www.jenkins.com/,http://www.sloan.com/,Supply Chain Delays Impacting Raw Material Costs for Bakers,Key trends in the baking supply chain amid new global tariffs.,2024-05-27,source-17,USA,São Paulo,1.6,5,Critical
https://www.brown.com/,http://www.dunn.net/,"China's Export Policies Tighten, Affecting Flour Supply",Baking companies face rising costs due to new steel tariffs.,2024-06-09,source-11,India,Paris,1.6,5,Critical
https://www.henderson.com/,http://cox-patrick.info/,Global Wheat Shortages Hit the Baking Industry,Impacts of wheat tariffs on the baking industry in North America.,2024-06-24,source-16,Canada,Mexico City,1.6,5,Critical
http://green-robinson.biz/,https://www.foley-miller.com/,European Union Implements New Wheat Tariffs,Impacts of wheat tariffs on the baking industry in North America.,2024-02-25,source-3,India,Paris,1.6,5,Critical
http://ewing.com/,https://www.montoya.com/,Global Wheat Shortages Hit the Baking Industry,Impacts of wheat tariffs on the baking industry in North America.,2024-06-29,source-2,Canada,São Paulo,1.6,5,Critical
https://www.bass.biz/,https://white.biz/,Tariffs in China Causing Expensive Raw Materials,Baking companies face rising costs due to new steel tariffs.,2024-04-15,source-1,Germany,Chicago,1.6,5,Critical
http://www.smith-roberts.biz/,https://tate-salazar.biz/,European Union Implements New Wheat Tariffs,Impacts of wheat tariffs on the baking industry in North America.,2024-07-03,source-4,Canada,Sydney,1.6,5,Critical
https://www.ford.com/,https://flynn.com/,Tariffs in China Causing Expensive Raw Materials,Baking companies face rising costs due to new steel tariffs.,2024-03-13,source-10,Germany,Beijing,1.6,5,Critical
http://www.campbell.biz/,http://www.chavez-garcia.com/,Rising Costs of Vanilla Imports From Madagascar,Impacts of wheat tariffs on the baking industry in North America.,2024-05-11,source-5,Australia,Chicago,1.6,5,Critical
http://stevens.biz/,https://sharp.com/,Tariffs in China Causing Expensive Raw Materials,Key trends in the baking supply chain amid new global tariffs.,2024-03-03,source-15,India,Beijing,1.6,5,Critical
https://james-simpson.info/,https://www.jones-johnson.com/,New US-Canada Trade Agreement Affects Baking Industry,Key trends in the baking supply chain amid new global tariffs.,2024-02-15,source-17,Mexico,Sydney,1.6,5,Critical
http://www.bates.com/,https://mckay.net/,European Union Implements New Wheat Tariffs,Key trends in the baking supply chain amid new global tariffs.,2024-10-04,source-17,Germany,Mumbai,1.6,5,Critical
https://www.berry-peterson.info/,https://green-paul.com/,Supply Chain Delays Impacting Raw Material Costs for Bakers,Impacts of wheat tariffs on the baking industry in North America.,2024-07-02,source-1,Brazil,São Paulo,1.6,5,Critical
http://www.richards-adkins.net/,https://ramos.com/,New US-Canada Trade Agreement Affects Baking Industry,Key trends in the baking supply chain amid new global tariffs.,2024-06-30,source-1,Australia,Chicago,1.6,5,Critical
http://www.carter-hooper.com/,http://brown.com/,"China's Export Policies Tighten, Affecting Flour Supply",Analysis of supply chain disruptions caused by new tariffs on raw materials.,2024-03-30,source-13,France,Tokyo,1.6,5,Critical
http://www.foster-ruiz.com/,http://taylor.info/,Drought in Brazil Disrupts Global Sugar Supply Chains,Impacts of wheat tariffs on the baking industry in North America.,2024-01-21,source-7,USA,Sydney,1.6,5,Critical
https://www.collier-myers.com/,http://www.english-kim.com/,Supply Chain Delays Impacting Raw Material Costs for Bakers,Packaging costs soar due to US-Canada trade disputes.,2024-11-13,source-7,India,Toronto,0.9,5,Critical
http://everett.org/,https://myers.com/,Rising Costs of Vanilla Imports From Madagascar,Analysis of supply chain disruptions caused by new tariffs on raw materials.,2024-01-20,source-18,Australia,Tokyo,1.6,5,Critical
https://brown.net/,https://miller-tucker.com/,Drought in Brazil Disrupts Global Sugar Supply Chains,Baking companies face rising costs due to new steel tariffs.,2024-10-23,source-13,France,Sydney,1.6,5,Critical
https://www.bailey.info/,https://phillips.com/,Tariffs in China Causing Expensive Raw Materials,Baking companies face rising costs due to new steel tariffs.,2024-11-19,source-5,Japan,Beijing,1.6,5,Critical
http://www.wade-church.info/,https://sullivan.com/,"China's Export Policies Tighten, Affecting Flour Supply",Analysis of supply chain disruptions caused by new tariffs on raw materials.,2024-07-23,source-20,USA,Toronto,1.6,5,Critical
http://barnes-osborn.net/,http://henry-cooper.biz/,Tariffs in China Causing Expensive Raw Materials,Key trends in the baking supply chain amid new global tariffs.,2024-11-11,source-8,Canada,Mumbai,1.6,5,Critical
https://www.love.com/,http://www.williams.com/,"China's Export Policies Tighten, Affecting Flour Supply",Baking companies face rising costs due to new steel tariffs.,2024-09-26,source-6,Australia,Sydney,1.6,5,Critical
